teams,totalGames,totalGoals,avgGameGoals,avgSeasonGoals
belarus,148,618,4.175675676,77.25
cashtown,146,563,3.856164384,70.375
coatescreek,126,522,4.142857143,74.57142857
herbtown,147,635,4.319727891,79.375
newlowell,152,632,4.157894737,79
stayner,129,472,3.658914729,67.42857143
